GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JavaUpgrate,EnumDemo,Size,24,0,0,0,2,0,1,0,1,0
JavaUpgrate,EnumDemo,EnumTest,67,0,0,0,10,0,2,0,2,0
JavaUpgrate,EnumDemo,Color1,123,0,4,0,27,0,12,0,10,0
JavaUpgrate,EnumDemo,Color,105,0,4,0,21,0,10,0,8,0
JavaUpgrate,ThreadDemo,CyclicBarrierDemo,59,0,2,0,19,0,4,0,3,0
JavaUpgrate,ThreadDemo,WaitNotifyDemo.Producer,57,0,4,0,16,0,4,0,2,0
JavaUpgrate,ThreadDemo,SynchronizedDemo,8,0,0,0,4,0,2,0,2,0
JavaUpgrate,ThreadDemo,CallableDemo,53,0,0,0,17,0,5,0,5,0
JavaUpgrate,ThreadDemo,CountDownLatchDemo,53,0,2,0,16,0,4,0,3,0
JavaUpgrate,ThreadDemo,Counter.new Runnable() {...},20,0,0,0,9,0,2,0,2,0
JavaUpgrate,ThreadDemo,ReentrantLockDemo,26,0,0,0,10,0,2,0,2,0
JavaUpgrate,ThreadDemo,ThreadDemo,10,0,0,0,2,0,2,0,2,0
JavaUpgrate,ThreadDemo,CallableDemo.new Callable() {...},6,0,0,0,2,0,2,0,2,0
JavaUpgrate,ThreadDemo,ThreadB,12,0,0,0,5,0,2,0,2,0
JavaUpgrate,ThreadDemo,AssistantThread,14,0,0,0,6,0,2,0,2,0
JavaUpgrate,ThreadDemo,ThreadA,12,0,0,0,5,0,2,0,2,0
JavaUpgrate,ThreadDemo,Counter.new Runnable() {...},6,0,0,0,3,0,2,0,2,0
JavaUpgrate,ThreadDemo,ThreadPoolDemo,15,0,0,0,4,0,3,0,3,0
JavaUpgrate,ThreadDemo,SynchronizedDemo2,29,0,0,0,9,0,2,0,2,0
JavaUpgrate,ThreadDemo,SynchronizedDemo3,125,0,2,0,30,0,6,0,5,0
JavaUpgrate,ThreadDemo,Counter.test,3,0,0,0,1,0,1,0,1,0
JavaUpgrate,ThreadDemo,Counter,44,0,2,0,11,0,5,0,4,0
JavaUpgrate,ThreadDemo,ExecutorDemo.MyExecutor,9,0,0,0,3,0,2,0,2,0
JavaUpgrate,ThreadDemo,ExecutorDemo,76,0,0,0,18,0,5,0,5,0
JavaUpgrate,ThreadDemo,WaitNotifyDemo,24,0,0,0,8,0,2,0,2,0
JavaUpgrate,ThreadDemo,WaitNotifyDemo.Container,3,0,0,0,1,0,1,0,1,0
JavaUpgrate,ThreadDemo,AtomicIntegerDemo,40,0,2,0,11,0,4,0,3,0
JavaUpgrate,ThreadDemo,WaitNotifyDemo.Consumer,53,0,4,0,15,0,4,0,2,0
JavaUpgrate,ThreadDemo,JoinDemo,52,0,2,0,16,0,4,0,3,0
JavaUpgrate,ThreadDemo,Service,60,0,0,0,15,0,2,0,2,0
JavaUpgrate,multithread,ProducerConsumer1.Producer,3,55,0,4,2,14,0,4,0,2
JavaUpgrate,multithread,ProducerConsumer4.SignalData,0,44,0,0,0,12,0,3,0,3
JavaUpgrate,multithread,ProducerConsumer4.Producer,6,41,0,2,2,11,0,3,0,2
JavaUpgrate,multithread,ProducerConsumer3.Consumer,6,28,0,2,2,7,0,3,0,2
JavaUpgrate,multithread,ProducerConsumer5.Producer,7,44,0,2,3,11,0,3,0,2
JavaUpgrate,multithread,MyThreadPools,3,22,0,0,1,2,1,2,1,2
JavaUpgrate,multithread,ProducerConsumer4.Consumer,6,37,0,2,2,10,0,3,0,2
JavaUpgrate,multithread,ProducerConsumer4,3,36,0,0,1,10,1,2,1,2
JavaUpgrate,multithread,ProducerConsumer5,3,29,0,0,1,9,1,1,1,1
JavaUpgrate,multithread,Utils,48,88,2,6,8,13,3,5,2,2
JavaUpgrate,multithread,ProducerConsumer5.Consumer,7,41,0,2,3,10,0,3,0,2
JavaUpgrate,multithread,ProducerConsumer2.Consumer,45,0,4,0,14,0,4,0,2,0
JavaUpgrate,multithread,ProducerConsumer4.Data,0,44,0,0,0,12,0,3,0,3
JavaUpgrate,multithread,MultiThreadWordCount1,11,64,0,6,4,18,1,5,1,2
JavaUpgrate,multithread,MultiThreadWordCount2,6,67,0,6,3,20,1,5,1,2
JavaUpgrate,multithread,MultiThreadServiceDataProcessor,10,95,1,5,2,26,1,5,0,3
JavaUpgrate,multithread,MultiThreadWordCount3,6,49,0,2,3,13,1,3,1,2
JavaUpgrate,multithread,MultiThreadWordCount4,3,50,0,4,1,10,1,4,1,2
JavaUpgrate,multithread,MultiThreadWordCount5,9,54,0,2,5,14,1,3,1,2
JavaUpgrate,multithread,ProducerConsumer2.Producer,51,0,4,0,15,0,4,0,2,0
JavaUpgrate,multithread,ProducerConsumer1.Consumer,3,49,0,4,2,13,0,4,0,2
JavaUpgrate,multithread,ProducerConsumer3.Producer,6,31,0,2,2,7,0,3,0,2
JavaUpgrate,multithread,ProducerConsumer1,3,23,0,0,1,8,1,1,1,1
JavaUpgrate,multithread,ProducerConsumer2,3,38,0,0,1,12,1,2,1,2
JavaUpgrate,multithread,ProducerConsumer3,3,23,0,0,1,8,1,2,1,2
JavaUpgrate,hcsp.controller,BlogController,144,0,6,0,33,0,13,0,10,0
JavaUpgrate,hcsp.controller,AuthController,138,0,12,0,38,0,12,0,6,0
JavaUpgrate,hcsp,Application,44,0,2,0,12,0,6,0,5,0
JavaUpgrate,CollectionDemo,IteratorDemo,73,0,2,0,16,0,4,0,3,0
JavaUpgrate,hcsp.entity,BlogListResult,6,38,0,0,2,8,2,4,2,4
JavaUpgrate,hcsp.entity,Blog,61,0,2,0,23,0,17,0,16,0
JavaUpgrate,hcsp.entity,User,63,0,0,0,26,0,13,0,13,0
JavaUpgrate,hcsp.entity,Result,6,16,0,0,2,6,2,2,2,2
JavaUpgrate,hcsp.entity,BlogResult,35,0,0,0,6,0,5,0,5,0
JavaUpgrate,hcsp.entity,LoginResult,44,0,0,0,8,0,6,0,6,0
JavaUpgrate,hcsp.entity,Result.ResultStatus,0,37,0,0,0,7,0,3,0,3
JavaUpgrate,GenericClassDemo,GenericClassDemo,71,0,4,0,11,0,5,0,3,0
JavaUpgrate,MapDemo,MapDemo,104,0,6,0,27,0,11,0,8,0
JavaUpgrate,StaticFinalDemo,StFinDemo.Inner,6,0,0,0,2,0,2,0,2,0
JavaUpgrate,StaticFinalDemo,StFinDemo,58,0,0,0,17,0,7,0,7,0
JavaUpgrate,LambardDemo,LambarDemo,12,0,0,0,5,0,3,0,3,0
JavaUpgrate,LambardDemo,LambarDemo.PretendEat,7,0,0,0,3,0,2,0,2,0
JavaUpgrate,LambardDemo,repeatLambda,56,0,4,0,9,0,8,0,6,0
JavaUpgrate,hcsp.configuration,WebSecurityConfig,46,0,0,0,11,0,6,0,6,0
JavaUpgrate,ProxyDemo,TraceHandler,56,0,6,0,11,0,5,0,2,0
JavaUpgrate,ProxyDemo,proxyDemo,64,0,4,0,11,0,4,0,2,0
JavaUpgrate,hcsp.dao,BlogDao,144,0,2,0,18,0,9,0,8,0
JavaUpgrate,hcsp.service,BlogService,91,58,9,1,24,15,9,3,4,3
JavaUpgrate,hcsp.service,UserContextInterceptor,26,0,4,0,10,0,4,0,2,0
JavaUpgrate,hcsp.service,UserContext,16,0,0,0,5,0,4,0,4,0
JavaUpgrate,hcsp.service,UserService,43,0,2,0,9,0,5,0,4,0
JavaUpgrate,hcsp.service,BlogService.Logger,7,0,0,0,3,0,2,0,2,0
